Idade;Classe de Trabalho;Peso Final;Educacao;Id-Educacao;Estado Civil;Ocupacao;Relacao;Raca;Sexo;Ganho de Capital;Perda de Capital;Horas-Por-Semana;Nacionalidade;Ganho Anual
20; Privado;266015; Faculdade;10; Nunca-casou; Vendas; Filho-proprio; Negro; Masculino;0;0;44;Brasil; <=25K
45; Privado;386940; Bacharelado;13; Divorciado; Executivo-gerencial; Filho-proprio; Branco; Masculino;0;1408;40;Brasil; <=25K
30; Governo-federal;59951; Faculdade;10; Conjuge-civ-casado; Assistente-administrativo; Filho-proprio; Branco; Masculino;0;0;40;Brasil; <=25K
22; Chefe-de-estado;311512; Faculdade;10; Conjuge-civ-casado; Outros-servicos; Marido; Negro; Masculino;0;0;15;Brasil; <=25K
48; Privado;242406; 2-colegial;7; Nunca-casou; Operador-maquina; Nao-casado; Branco; Masculino;0;0;40;Brasil; <=25K
21; Privado;197200; Faculdade;10; Nunca-casou; Operador-maquina; Filho-proprio; Branco; Masculino;0;0;40;Brasil; <=25K
19; Privado;544091; Formado-EM;9; Conjuge-casado-com-FA; Assistente-administrativo; Esposa; Branco; Feminino;0;0;25;Brasil; <=25K
31; Privado;84154; Faculdade;10; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;0;38;Brasil; >25K
48; Trabalhador-nao-autonomo;265477; Associacao-academica;12; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
31; Privado;507875; 9-ano;5; Conjuge-civ-casado; Operador-maquina; Marido; Branco; Masculino;0;0;43;Brasil; <=25K
53; Trabalhador-nao-autonomo;88506; Bacharelado;13; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
24; Privado;172987; Bacharelado;13; Conjuge-civ-casado; Suporte-Tecnico; Marido; Branco; Masculino;0;0;50;Brasil; <=25K
49; Privado;94638; Formado-EM;9; Separado; Assistente-administrativo; Nao-casado; Branco; Feminino;0;0;40;Brasil; <=25K
25; Privado;289980; Formado-EM;9; Nunca-casou; Limpeza; Nao-membro-da-familia; Branco; Masculino;0;0;35;Brasil; <=25K
57; Governo-federal;337895; Bacharelado;13; Conjuge-civ-casado; Profissional-especializado; Marido; Negro; Masculino;0;0;40;Brasil; >25K
53; Privado;144361; Formado-EM;9; Conjuge-civ-casado; Operador-maquina; Marido; Branco; Masculino;0;0;38;Brasil; <=25K
44; Privado;128354; Mestrado;14; Divorciado; Executivo-gerencial; Nao-casado; Branco; Feminino;0;0;40;Brasil; <=25K
41; Chefe-de-estado;101603; Curso-profissionalizante;11; Conjuge-civ-casado; Reparo-artesanal; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
29; Privado;271466; Curso-profissionalizante;11; Nunca-casou; Profissional-especializado; Nao-membro-da-familia; Branco; Masculino;0;0;43;Brasil; <=25K
25; Privado;32275; Faculdade;10; Conjuge-civ-casado; Executivo-gerencial; Esposa; Outros; Feminino;0;0;40;Brasil; <=25K
18; Privado;226956; Formado-EM;9; Nunca-casou; Outros-servicos; Filho-proprio; Branco; Feminino;0;0;30;Brasil; <=25K
47; Privado;51835; Pos-graduado;15; Conjuge-civ-casado; Profissional-especializado; Esposa; Branco; Feminino;0;1902;60;Brasil; >25K
50; Governo-federal;251585; Bacharelado;13; Divorciado; Executivo-gerencial; Nao-membro-da-familia; Branco; Masculino;0;0;55;Brasil; >25K
47; Trabalhador-autonomo;109832; Formado-EM;9; Divorciado; Executivo-gerencial; Nao-membro-da-familia; Branco; Masculino;0;0;60;Brasil; <=25K
43; Privado;237993; Faculdade;10; Conjuge-civ-casado; Suporte-Tecnico; Marido; Branco; Masculino;0;0;40;Brasil; >25K
46; Privado;216666; 5ou6-ano;3; Conjuge-civ-casado; Operador-maquina; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
35; Privado;56352; Curso-profissionalizante;11; Conjuge-civ-casado; Outros-servicos; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
41; Privado;147372; Formado-EM;9; Conjuge-civ-casado; Assistente-administrativo; Marido; Branco; Masculino;0;0;48;Brasil; <=25K
30; Privado;188146; Formado-EM;9; Conjuge-civ-casado; Operador-maquina; Marido; Branco; Masculino;5013;0;40;Brasil; <=25K
30; Privado;59496; Bacharelado;13; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;2407;0;40;Brasil; <=25K
32; ?;293936; 7ou8-ano;4; Casado-conjuge-ausente; ?; Nao-membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
48; Privado;149640; Formado-EM;9; Conjuge-civ-casado; Movimentacao-de-transporte; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
42; Privado;116632; Doutorado;16; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;45;Brasil; >25K
29; Privado;105598; Faculdade;10; Divorciado; Suporte-Tecnico; Nao-membro-da-familia; Branco; Masculino;0;0;58;Brasil; <=25K
36; Privado;155537; Formado-EM;9; Conjuge-civ-casado; Reparo-artesanal; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
28; Privado;183175; Faculdade;10; Divorciado; Assistente-administrativo; Nao-membro-da-familia; Branco; Feminino;0;0;40;Brasil; <=25K
53; Privado;169846; Formado-EM;9; Conjuge-civ-casado; Assistente-administrativo; Esposa; Branco; Feminino;0;0;40;Brasil; >25K
49; Trabalhador-autonomo;191681; Faculdade;10; Conjuge-civ-casado; Executivo-gerencial; Marido; Branco; Masculino;0;0;50;Brasil; >25K
25; ?;200681; Faculdade;10; Nunca-casou; ?; Filho-proprio; Branco; Masculino;0;0;40;Brasil; <=25K
19; Privado;101509; Faculdade;10; Nunca-casou; Profissional-especializado; Filho-proprio; Branco; Masculino;0;0;32;Brasil; <=25K
31; Privado;309974; Bacharelado;13; Separado; Vendas; Filho-proprio; Negro; Feminino;0;0;40;Brasil; <=25K
29; Trabalhador-nao-autonomo;162298; Bacharelado;13; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;0;70;Brasil; >25K
23; Privado;211678; Faculdade;10; Nunca-casou; Operador-maquina; Nao-membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
79; Privado;124744; Faculdade;10; Conjuge-civ-casado; Profissional-especializado; Membro-da-familia; Branco; Masculino;0;0;20;Brasil; <=25K
27; Privado;213921; Formado-EM;9; Nunca-casou; Outros-servicos; Filho-proprio; Branco; Masculino;0;0;40;Brasil; <=25K
40; Privado;32214; Associacao-academica;12; Conjuge-civ-casado; Assistente-administrativo; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
67; ?;212759; 1-colegial;6; Conjuge-civ-casado; ?; Marido; Branco; Masculino;0;0;2;Brasil; <=25K
18; Privado;309634; 2-colegial;7; Nunca-casou; Outros-servicos; Filho-proprio; Branco; Feminino;0;0;22;Brasil; <=25K
31; Governo-municipal;125927; 7ou8-ano;4; Conjuge-civ-casado; Fazenda-pesca; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
18; Privado;446839; Formado-EM;9; Nunca-casou; Vendas; Nao-membro-da-familia; Branco; Masculino;0;0;30;Brasil; <=25K
52; Privado;276515; Bacharelado;13; Conjuge-civ-casado; Outros-servicos; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
46; Privado;51618; Formado-EM;9; Conjuge-civ-casado; Outros-servicos; Esposa; Branco; Feminino;0;0;40;Brasil; <=25K
59; Privado;159937; Formado-EM;9; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;0;48;Brasil; <=25K
44; Privado;343591; Formado-EM;9; Divorciado; Reparo-artesanal; Nao-membro-da-familia; Branco; Feminino;14344;0;40;Brasil; >25K
53; Privado;346253; Formado-EM;9; Divorciado; Vendas; Filho-proprio; Branco; Feminino;0;0;35;Brasil; <=25K
49; Governo-municipal;268234; Formado-EM;9; Conjuge-civ-casado; Seguranca; Marido; Branco; Masculino;0;0;40;Brasil; >25K
33; Privado;202051; Mestrado;14; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;50;Brasil; <=25K
30; Privado;54334; 9-ano;5; Nunca-casou; Vendas; Nao-membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
43; Governo-federal;410867; Doutorado;16; Nunca-casou; Profissional-especializado; Nao-membro-da-familia; Branco; Feminino;0;0;50;Brasil; >25K
57; Privado;249977; Curso-profissionalizante;11; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
37; Privado;286730; Faculdade;10; Divorciado; Reparo-artesanal; Nao-casado; Branco; Feminino;0;0;40;Brasil; <=25K
28; Privado;212563; Faculdade;10; Divorciado; Operador-maquina; Nao-casado; Negro; Feminino;0;0;25;Brasil; <=25K
30; Privado;117747; Formado-EM;9; Conjuge-civ-casado; Vendas; Esposa; Asiatico; Feminino;0;1573;35;Brasil; <=25K
34; Governo-municipal;226296; Bacharelado;13; Conjuge-civ-casado; Seguranca; Marido; Branco; Masculino;0;0;40;Brasil; >25K
29; Governo-municipal;115585; Faculdade;10; Nunca-casou; Limpeza; Nao-membro-da-familia; Branco; Masculino;0;0;50;Brasil; <=25K
48; Trabalhador-nao-autonomo;191277; Doutorado;16; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;1902;60;Brasil; >25K
37; Privado;202683; Faculdade;10; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;0;48;Brasil; >25K
48; Privado;171095; Associacao-academica;12; Divorciado; Executivo-gerencial; Nao-casado; Branco; Feminino;0;0;40;Brasil; <=25K
32; Governo-federal;249409; Formado-EM;9; Nunca-casou; Outros-servicos; Filho-proprio; Negro; Masculino;0;0;40;Brasil; <=25K
76; Privado;124191; Mestrado;14; Conjuge-civ-casado; Executivo-gerencial; Marido; Branco; Masculino;0;0;40;Brasil; >25K
44; Privado;198282; Bacharelado;13; Conjuge-civ-casado; Executivo-gerencial; Marido; Branco; Masculino;15024;0;60;Brasil; >25K
47; Trabalhador-nao-autonomo;149116; Mestrado;14; Nunca-casou; Profissional-especializado; Nao-membro-da-familia; Branco; Feminino;0;0;50;Brasil; <=25K
20; Privado;188300; Faculdade;10; Nunca-casou; Suporte-Tecnico; Filho-proprio; Branco; Feminino;0;0;40;Brasil; <=25K
29; Privado;103432; Formado-EM;9; Nunca-casou; Reparo-artesanal; Nao-membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
32; Trabalhador-autonomo;317660; Formado-EM;9; Conjuge-civ-casado; Reparo-artesanal; Marido; Branco; Masculino;7688;0;40;Brasil; >25K
17; ?;304873; 1-colegial;6; Nunca-casou; ?; Filho-proprio; Branco; Feminino;34095;0;32;Brasil; <=25K
30; Privado;194901; 2-colegial;7; Nunca-casou; Limpeza; Filho-proprio; Branco; Masculino;0;0;40;Brasil; <=25K
31; Governo-municipal;189265; Formado-EM;9; Nunca-casou; Assistente-administrativo; Nao-membro-da-familia; Branco; Feminino;0;0;40;Brasil; <=25K
42; Privado;124692; Formado-EM;9; Conjuge-civ-casado; Limpeza; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
24; Privado;432376; Bacharelado;13; Nunca-casou; Vendas; Membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
38; Privado;65324; Pos-graduado;15; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;40;Brasil; >25K
56; Trabalhador-nao-autonomo;335605; Formado-EM;9; Conjuge-civ-casado; Outros-servicos; Marido; Branco; Masculino;0;1887;50;Brasil; >25K
28; Privado;377869; Faculdade;10; Conjuge-civ-casado; Vendas; Esposa; Branco; Feminino;4064;0;25;Brasil; <=25K
36; Privado;102864; Formado-EM;9; Nunca-casou; Operador-maquina; Filho-proprio; Branco; Feminino;0;0;40;Brasil; <=25K
53; Privado;95647; 9-ano;5; Conjuge-civ-casado; Limpeza; Marido; Branco; Masculino;0;0;50;Brasil; <=25K
56; Trabalhador-autonomo;303090; Faculdade;10; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;0;50;Brasil; <=25K
49; Governo-municipal;197371; Curso-profissionalizante;11; Conjuge-civ-casado; Reparo-artesanal; Marido; Negro; Masculino;0;0;40;Brasil; >25K
55; Privado;247552; Faculdade;10; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;0;56;Brasil; <=25K
22; Privado;102632; Formado-EM;9; Nunca-casou; Reparo-artesanal; Nao-membro-da-familia; Branco; Masculino;0;0;41;Brasil; <=25K
21; Privado;199915; Faculdade;10; Nunca-casou; Outros-servicos; Filho-proprio; Branco; Feminino;0;0;40;Brasil; <=25K
40; Privado;118853; Bacharelado;13; Conjuge-civ-casado; Executivo-gerencial; Marido; Branco; Masculino;0;0;60;Brasil; <=25K
30; Privado;77143; Bacharelado;13; Nunca-casou; Executivo-gerencial; Filho-proprio; Negro; Masculino;0;0;40;Brasil; <=25K
29; Chefe-de-estado;267989; Bacharelado;13; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;50;Brasil; >25K
19; Privado;301606; Faculdade;10; Nunca-casou; Outros-servicos; Filho-proprio; Negro; Masculino;0;0;35;Brasil; <=25K
47; Privado;287828; Bacharelado;13; Conjuge-civ-casado; Executivo-gerencial; Esposa; Branco; Feminino;0;0;40;Brasil; >25K
20; Privado;111697; Faculdade;10; Nunca-casou; Assistente-administrativo; Filho-proprio; Branco; Feminino;0;1719;28;Brasil; <=25K
31; Privado;114937; Associacao-academica;12; Conjuge-civ-casado; Assistente-administrativo; Marido; Branco; Masculino;0;0;40;Brasil; >25K
35; ?;129305; Formado-EM;9; Conjuge-civ-casado; ?; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
39; Privado;365739; Faculdade;10; Divorciado; Reparo-artesanal; Nao-membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
28; Privado;69621; Associacao-academica;12; Nunca-casou; Vendas; Nao-membro-da-familia; Branco; Feminino;0;0;60;Brasil; <=25K
24; Privado;43323; Formado-EM;9; Nunca-casou; Outros-servicos; Nao-membro-da-familia; Branco; Feminino;0;1762;40;Brasil; <=25K
38; Trabalhador-nao-autonomo;120985; Formado-EM;9; Conjuge-civ-casado; Reparo-artesanal; Marido; Branco; Masculino;4386;0;35;Brasil; <=25K
37; Privado;254202; Bacharelado;13; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;0;50;Brasil; <=25K
46; Privado;146195; Associacao-academica;12; Divorciado; Suporte-Tecnico; Nao-membro-da-familia; Negro; Feminino;0;0;36;Brasil; <=25K
38; Governo-federal;125933; Mestrado;14; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;40;Brasil; >25K
43; Trabalhador-nao-autonomo;56920; Formado-EM;9; Conjuge-civ-casado; Reparo-artesanal; Marido; Branco; Masculino;0;0;60;Brasil; <=25K
27; Privado;163127; Curso-profissionalizante;11; Conjuge-civ-casado; Assistente-administrativo; Esposa; Branco; Feminino;0;0;35;Brasil; <=25K
20; Privado;34310; Faculdade;10; Nunca-casou; Vendas; Filho-proprio; Branco; Masculino;0;0;20;Brasil; <=25K
49; Privado;81973; Faculdade;10; Conjuge-civ-casado; Reparo-artesanal; Marido; Asiatico; Masculino;0;0;40;Brasil; >25K
61; Trabalhador-autonomo;66614; Formado-EM;9; Conjuge-civ-casado; Reparo-artesanal; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
27; Privado;232782; Faculdade;10; Nunca-casou; Vendas; Filho-proprio; Branco; Feminino;0;0;40;Brasil; <=25K
19; Privado;316868; Faculdade;10; Nunca-casou; Outros-servicos; Filho-proprio; Branco; Masculino;0;0;30;Brasil; <=25K
45; Privado;196584; Curso-profissionalizante;11; Nunca-casou; Profissional-especializado; Nao-membro-da-familia; Branco; Feminino;0;1564;40;Brasil; >25K
70; Privado;105376; Faculdade;10; Nunca-casou; Suporte-Tecnico; Membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
31; Privado;185814; Formado-EM;9; Nunca-casou; Movimentacao-de-transporte; Nao-casado; Negro; Feminino;0;0;30;Brasil; <=25K
22; Privado;175374; Faculdade;10; Conjuge-civ-casado; Outros-servicos; Marido; Branco; Masculino;0;0;24;Brasil; <=25K
36; Privado;108293; Formado-EM;9; Viuvo; Outros-servicos; Nao-casado; Branco; Feminino;0;0;24;Brasil; <=25K
64; Privado;181232; 2-colegial;7; Conjuge-civ-casado; Reparo-artesanal; Marido; Branco; Masculino;0;2179;40;Brasil; <=25K
43; ?;174662; Faculdade;10; Divorciado; ?; Nao-membro-da-familia; Branco; Feminino;0;0;40;Brasil; <=25K
47; Governo-municipal;186009; Faculdade;10; Divorciado; Assistente-administrativo; Nao-casado; Branco; Feminino;0;0;38;Brasil; <=25K
34; Privado;198183; Formado-EM;9; Nunca-casou; Assistente-administrativo; Nao-membro-da-familia; Branco; Feminino;0;0;40;Brasil; <=25K
33; Privado;163003; Bacharelado;13; Nunca-casou; Executivo-gerencial; Membro-da-familia; Asiatico; Feminino;0;0;40;Brasil; <=25K
21; Privado;296158; Formado-EM;9; Nunca-casou; Reparo-artesanal; Filho-proprio; Branco; Masculino;0;0;35;Brasil; <=25K
52; ?;252903; Formado-EM;9; Divorciado; ?; Nao-membro-da-familia; Branco; Masculino;0;0;45;Brasil; >25K
48; Privado;187715; Formado-EM;9; Conjuge-civ-casado; Reparo-artesanal; Marido; Branco; Masculino;0;0;46;Brasil; <=25K
23; Privado;214542; Bacharelado;13; Nunca-casou; Limpeza; Nao-membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
71; Trabalhador-nao-autonomo;494223; Faculdade;10; Separado; Vendas; Nao-casado; Negro; Masculino;0;1816;2;Brasil; <=25K
29; Privado;191535; Formado-EM;9; Divorciado; Reparo-artesanal; Nao-membro-da-familia; Branco; Masculino;0;0;60;Brasil; <=25K
42; Privado;228456; Bacharelado;13; Separado; Outros-servicos; Membro-da-familia; Negro; Masculino;0;0;50;Brasil; <=25K
68; ?;38317; 1ou4-ano;2; Divorciado; ?; Nao-membro-da-familia; Branco; Feminino;0;0;20;Brasil; <=25K
25; Privado;252752; Formado-EM;9; Nunca-casou; Outros-servicos; Nao-casado; Branco; Feminino;0;0;40;Brasil; <=25K
44; Trabalhador-autonomo;78374; Mestrado;14; Divorciado; Executivo-gerencial; Nao-casado; Asiatico; Feminino;0;0;40;Brasil; <=25K
28; Privado;88419; Formado-EM;9; Nunca-casou; Executivo-gerencial; Nao-membro-da-familia; Asiatico; Feminino;0;0;40;Brasil; <=25K
45; Trabalhador-nao-autonomo;201080; Mestrado;14; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;0;40;Brasil; >25K
36; Privado;207157; Faculdade;10; Divorciado; Outros-servicos; Nao-casado; Branco; Feminino;0;0;40;Brasil; <=25K
39; Governo-federal;235485; Associacao-academica;12; Nunca-casou; Executivo-gerencial; Nao-membro-da-familia; Branco; Masculino;0;0;42;Brasil; <=25K
46; Chefe-de-estado;102628; Mestrado;14; Viuvo; Seguranca; Nao-casado; Branco; Masculino;0;0;40;Brasil; <=25K
18; Privado;25828; 2-colegial;7; Nunca-casou; Limpeza; Filho-proprio; Branco; Masculino;0;0;16;Brasil; <=25K
66; Governo-municipal;54826; Curso-profissionalizante;11; Viuvo; Profissional-especializado; Nao-membro-da-familia; Branco; Feminino;0;0;20;Brasil; <=25K
27; Privado;124953; Formado-EM;9; Nunca-casou; Outros-servicos; Nao-membro-da-familia; Branco; Masculino;0;1980;40;Brasil; <=25K
28; Chefe-de-estado;175325; Formado-EM;9; Conjuge-civ-casado; Seguranca; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
51; Privado;96062; Faculdade;10; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;1977;40;Brasil; >25K
27; Privado;428030; Bacharelado;13; Nunca-casou; Reparo-artesanal; Nao-membro-da-familia; Branco; Masculino;0;0;50;Brasil; <=25K
28; Chefe-de-estado;149624; Bacharelado;13; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;40;Brasil; >25K
27; Privado;253814; Formado-EM;9; Casado-conjuge-ausente; Vendas; Nao-casado; Branco; Feminino;0;0;25;Brasil; <=25K
21; Privado;312956; Formado-EM;9; Nunca-casou; Reparo-artesanal; Filho-proprio; Negro; Masculino;0;0;40;Brasil; <=25K
34; Privado;483777; Formado-EM;9; Nunca-casou; Limpeza; Nao-membro-da-familia; Negro; Masculino;0;0;40;Brasil; <=25K
18; Privado;183930; Formado-EM;9; Nunca-casou; Outros-servicos; Filho-proprio; Branco; Masculino;0;0;12;Brasil; <=25K
33; Privado;37274; Bacharelado;13; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;65;Brasil; <=25K
44; Governo-municipal;181344; Faculdade;10; Conjuge-civ-casado; Executivo-gerencial; Marido; Negro; Masculino;0;0;38;Brasil; >25K
43; Privado;114580; Faculdade;10; Divorciado; Assistente-administrativo; Nao-membro-da-familia; Branco; Feminino;0;0;40;Brasil; <=25K
30; Privado;633742; Faculdade;10; Nunca-casou; Reparo-artesanal; Nao-membro-da-familia; Negro; Masculino;0;0;45;Brasil; <=25K
40; Privado;286370; 7ou8-ano;4; Conjuge-civ-casado; Operador-maquina; Marido; Branco; Masculino;0;0;40;Brasil; >25K
37; Governo-federal;29054; Faculdade;10; Conjuge-civ-casado; Assistente-administrativo; Marido; Branco; Masculino;0;0;42;Brasil; >25K
34; Privado;304030; Formado-EM;9; Conjuge-civ-casado; Assistente-administrativo; Marido; Negro; Masculino;0;0;40;Brasil; <=25K
41; Trabalhador-nao-autonomo;143129; Bacharelado;13; Divorciado; Executivo-gerencial; Nao-membro-da-familia; Branco; Feminino;0;0;40;Brasil; <=25K
53; ?;135105; Bacharelado;13; Divorciado; ?; Nao-membro-da-familia; Branco; Feminino;0;0;50;Brasil; <=25K
31; Privado;99928; Mestrado;14; Conjuge-civ-casado; Profissional-especializado; Esposa; Branco; Feminino;0;0;50;Brasil; <=25K
58; Chefe-de-estado;109567; Doutorado;16; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;1;Brasil; >25K
38; Privado;155222; Faculdade;10; Divorciado; Operador-maquina; Nao-membro-da-familia; Negro; Feminino;0;0;28;Brasil; <=25K
24; Privado;159567; Faculdade;10; Conjuge-civ-casado; Operador-maquina; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
41; Governo-municipal;523910; Bacharelado;13; Conjuge-civ-casado; Reparo-artesanal; Marido; Negro; Masculino;0;0;40;Brasil; <=25K
47; Privado;120939; Faculdade;10; Conjuge-civ-casado; Suporte-Tecnico; Marido; Branco; Masculino;0;0;45;Brasil; <=25K
41; Governo-federal;130760; Bacharelado;13; Conjuge-civ-casado; Suporte-Tecnico; Marido; Branco; Masculino;0;0;24;Brasil; <=25K
23; Privado;197387; 5ou6-ano;3; Conjuge-civ-casado; Movimentacao-de-transporte; Membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
36; Privado;99374; Faculdade;10; Divorciado; Reparo-artesanal; Nao-membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
