Time;Torcida Organizada;Data;Hora;Tweet;Positivo / Negativo;Conta
Sao Paulo;Falange Tricolor;ind;ind;Nunca vi um DM tao ruim quanto o do SP pela mor de deus;Negativo;ind
Sao Paulo;Falange Tricolor;ind;ind;O dani alves esta cada vez menos compromissado com o time, tem q ir embora logo!!;Negativo;ind
Flamengo;Raça Rubro-Negra;18/02/2021;16:37;chora torcida do flu, hoje nao deu pra vcs;Negativo;luisrubro
Flamengo;Urubuzada;15/03/2021;16:42;como o maraca eh lindo, bora mengaoo;Positivo;ronaldinho00
Flamengo;Urubuzada;16/03/2021;17:42;mais uma vitoria do mengao, para alegria da urubuzada;Positivo;fein768
Fluminense;Young Flu;18/01/2021;11:58;bora pra praia, depois de mais um derrota, preciso relaxar;Negativo;luizalmeidinha
Fluminense;Young Flu;19/01/2021;12:58;bora fred, meter gol esse ano;Positivo;renatinhoo
Fluminense;Forca Flu;19/04/2021;14:58;vamooooo meu fluzaooo;Positivo;lorenasena
Vasco;Forca Jovem;07/05/2021;23:15;e o gigante da colinaaaaaaa;Positivo;robert140
Vasco;Forca Jovem;19/06/2021;18:00;O Vasco vale mais que suas vidas. Joguem por elas;Negativo;FJVascodaGama
Vasco;TOV;13/05/2021;16:37;dia de jogo, dia de usar a camisa mais bonita do mundo;Positivo;luizabb7
Vasco;Mancha Negra;23/05/2021;17:37;mais um episodio acabando com a torcida do flamengo, vamos Mancha Negra;Negativo;lokadacolina
Botafogo;Estrela Solitaria;09/04/2021;01:32;bora pro niltao, chorar vendo o botafogo jogar, mas com a camisa da querida estrela solitaria ;Negativo;xanderex
Botafogo;Mancha Alvinegra;17/05/2021;11:28;eu te amo Mancha Alvinegra;Positivo;luquinhas111
Botafogo;Botachopp;11/06/2021;02:32;vamo que vamo fogao em busca de mais uma vitoria;Positivo;zeraldo99
Cruzeiro;Mafia Azul;05/01/2021;12:37;mafia azul manda em minas, pode vir atletico mg;Negativo;rrsouza
Cruzeiro;Mafia Azul;11/06/2021;18:00;vamos meu CRUZEIROO;Positivo;arnaldocoelho
Cruzeiro;Pavilhao Independente;06/01/2021;14:37;acompanhamos independente de qualquer situacao;Positivo;jvribeiro96
Atletico Mineiro;Galoucura;09/02/2021;19:20;bora galoucura, n vamos perder esse jogo;Positivo;ronaldo17
Atletico Mineiro;Forca Jovem Atleticana;11/04/2021;13:37;sempre apoiando o maior de minas;Positivo;elisandrosilva8
Atletico Mineiro;Candagalo;18/04/2021;15:30;eae mafia azul como e a serie b;Negativo;jujusalimoes
America Mineiro;Seita Verde;21/01/2021;22:19;A SEITA VERDE E A MAIS PERIGOSA DO BRASIL;Negativo;seitameuamor
America Mineiro;Avacoelhada;15/02/2021;03:19;Vamo meu coelho, jogo importantissimo hoje;Positivo;otaldomaisbrabo
America Mineiro;Koelhomania;14/06/2021;00:19;A Koelhomania mata um, mata geral, tambem vai matar voce;Negativo;joseneto21
Internacional;Camisa 12;20/01/2021;22:04;Ae tricoflores, hoje voces vao chorar em ;Negativo;jdfmp
Internacional;Nacao Independente Comando Vermelho;21/03/2021;23:33;Hoje vamo comemorar indo pra briga!!!!!!;Negativo;CVColorado
Gremio;Garra Tricolor;23/04/2021;00:15;Chupaaa cholorados, nao guentam no campo e nem se vim pra porrada;Negativo;vinibraaz
Gremio;Torcida Jovem;24/01/2021;13:10;Vamo ganhar essa copaa meu IMORTAAAAL;Positivo;hubrju
Goias;Forca Jovem;26/02/2021;14:56;Aiai essa freguesia so cresce, bando de lixo, isso n e dragao nao, ta no maximo pra um passarinho;Negativo;Rriccetto
Atletico Goianiense;Mafia Atleticano;29/01/2021;18:45;Mais um classico do equilibrio hoje, e vencer ou vencer, se nao vai ter guerra;Negativo;viipivoto
Atletico Goianiense;Dragoes Atleticanos;30/05/2021;13:01;Vai ser complicado essas oitavas contra o CAP;Positivo;CaiqueMCostaM
Bahia;Bamor;01/02/2021;14:40;Nao temos mais rivais na Bahia, impressionante como o Vitoria se apequenou;Negativo;DRAFT1000GRAU
Bahia;Terror Tricolor;02/04/2021;20:20;VAMO PARA MAIS UMA MEU BAHIAA;Positivo;ind
Santa Cruz;Inferno Coral;04/02/2021;15:35;"""nos somos os leoes da ilha"", muito engracado esses caras nao passam de um gatinho de condominio";Negativo;NadalRafaella
Santa Cruz;Raça Coral;05/06/2021;00:13;Mais uma vitoria pro santinha, cada vez jogando melhor;Positivo;Matheusperez
Sport;Leoes da Ilha;07/02/2021;17:28;Hoje o xpoh vai passar o trator, tem nem como;Positivo;leozinTips
Sport;Torcida Jovem;08/01/2021;22:52;As cobrinhas piram com cada jogo nosso, impressionante o quao lixo eles sao, cada vez com mais vontade de espancar um;Negativo;AfiuneCaio
Fortaleza;Leoes da TUF;10/03/2021;18:56;Contra a leoes esses vozinho nunca arranjam nada, se quiser provar vem na briga as 20:00 na Praca no Ferreira;Negativo;RBLZVerjgang
Fortaleza;Leoes da TUF;11/03/2021;19:56;O MAIOR DO NORDESTE;Positivo;joaozinhoo
Ceara;Cearamor;12/02/2021;22:13;VAMO VOZAO!!!!!;Positivo;LongwellBelle
Coritiba;Imperio Alviverde;14/06/2021;01:42;Os furachao fala, fala e fala, mas nunca consiguirao ser maior que nos;Negativo;Iaanziito
Athletico Paranaense;Ultras do Athletico;16/01/2021;02:01;O maior do sul nao tem como, os coxa nunca serao o que a gente e agora, SOMOS CAMPEOES DE NOVO;Negativo;FelipeAbel22
Athletico Paranaense;Ultras do Athletico;17/01/2021;03:01;sdds do time de 2019 e do tiago nunes;Positivo;cainhojatoba
Athletico Paranaense;Ultras do Athletico;31/05/2021;02:42;chora torcida do coxa, mais uma vitoriaa;Negativo;anselmo98
